timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1665959285787,786,Rannger,200,OK,Thread Group 1-1,text,true,,4005,254,5,5,https://rangers-bikes.firebaseapp.com/,135,0,81
1665959286229,346,Rannger,200,OK,Thread Group 1-4,text,true,,4005,254,5,5,https://rangers-bikes.firebaseapp.com/,96,0,48
1665959285827,748,Rannger,200,OK,Thread Group 1-2,text,true,,4005,254,5,5,https://rangers-bikes.firebaseapp.com/,95,0,47
1665959286229,96,Rannger-0,301,Moved Permanently,Thread Group 1-4,,true,,387,127,5,5,http://rangers-bikes.firebaseapp.com/,96,0,48
1665959285827,100,Rannger-0,301,Moved Permanently,Thread Group 1-2,,true,,387,127,5,5,http://rangers-bikes.firebaseapp.com/,95,0,47
1665959286326,249,Rannger-1,200,OK,Thread Group 1-4,text,true,,3618,127,5,5,https://rangers-bikes.firebaseapp.com/,248,0,201
1665959286035,538,Rannger,200,OK,Thread Group 1-3,text,true,,4004,254,5,5,https://rangers-bikes.firebaseapp.com/,98,0,50
1665959285930,645,Rannger-1,200,OK,Thread Group 1-2,text,true,,3618,127,5,5,https://rangers-bikes.firebaseapp.com/,644,0,595
1665959286035,98,Rannger-0,301,Moved Permanently,Thread Group 1-3,,true,,387,127,5,5,http://rangers-bikes.firebaseapp.com/,98,0,50
1665959286134,439,Rannger-1,200,OK,Thread Group 1-3,text,true,,3617,127,5,5,https://rangers-bikes.firebaseapp.com/,439,0,387
1665959285787,140,Rannger-0,301,Moved Permanently,Thread Group 1-1,,true,,387,127,5,5,http://rangers-bikes.firebaseapp.com/,135,0,81
1665959285930,643,Rannger-1,200,OK,Thread Group 1-1,text,true,,3618,127,5,5,https://rangers-bikes.firebaseapp.com/,643,0,591
1665959286437,260,Rannger,200,OK,Thread Group 1-5,text,true,,4005,254,6,6,https://rangers-bikes.firebaseapp.com/,97,0,50
1665959286437,97,Rannger-0,301,Moved Permanently,Thread Group 1-5,,true,,387,127,6,6,http://rangers-bikes.firebaseapp.com/,97,0,50
1665959286535,162,Rannger-1,200,OK,Thread Group 1-5,text,true,,3618,127,6,6,https://rangers-bikes.firebaseapp.com/,162,0,113
1665959286577,146,About,404,Not Found,Thread Group 1-4,text,false,,11595,264,6,6,https://rangers-bikes.firebaseapp.com/about,93,0,46
1665959286577,93,About-0,301,Moved Permanently,Thread Group 1-4,,true,,392,132,6,6,http://rangers-bikes.firebaseapp.com/about,93,0,46
1665959286670,53,About-1,404,Not Found,Thread Group 1-4,text,false,,11203,132,6,6,https://rangers-bikes.firebaseapp.com/about,48,0,0
1665959286579,168,About,404,Not Found,Thread Group 1-1,text,false,,11596,264,6,6,https://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286579,94,About-0,301,Moved Permanently,Thread Group 1-1,,true,,392,132,6,6,http://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286673,74,About-1,404,Not Found,Thread Group 1-1,text,false,,11204,132,6,6,https://rangers-bikes.firebaseapp.com/about,48,0,0
1665959286577,172,About,404,Not Found,Thread Group 1-3,text,false,,11595,264,6,6,https://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286577,94,About-0,301,Moved Permanently,Thread Group 1-3,,true,,392,132,6,6,http://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286671,78,About-1,404,Not Found,Thread Group 1-3,text,false,,11203,132,6,6,https://rangers-bikes.firebaseapp.com/about,49,0,0
1665959286577,201,About,404,Not Found,Thread Group 1-2,text,false,,11596,264,6,6,https://rangers-bikes.firebaseapp.com/about,91,0,46
1665959286577,91,About-0,301,Moved Permanently,Thread Group 1-2,,true,,392,132,6,6,http://rangers-bikes.firebaseapp.com/about,91,0,46
1665959286669,109,About-1,404,Not Found,Thread Group 1-2,text,false,,11204,132,6,6,https://rangers-bikes.firebaseapp.com/about,50,0,0
1665959286698,160,About,404,Not Found,Thread Group 1-5,text,false,,11596,264,7,7,https://rangers-bikes.firebaseapp.com/about,91,0,45
1665959286698,91,About-0,301,Moved Permanently,Thread Group 1-5,,true,,392,132,7,7,http://rangers-bikes.firebaseapp.com/about,91,0,45
1665959286790,68,About-1,404,Not Found,Thread Group 1-5,text,false,,11204,132,7,7,https://rangers-bikes.firebaseapp.com/about,54,0,0
1665959286725,163,Bikes,404,Not Found,Thread Group 1-4,text,false,,11599,270,7,7,https://rangers-bikes.firebaseapp.com/allbikes,103,0,53
1665959286725,103,Bikes-0,301,Moved Permanently,Thread Group 1-4,,true,,395,135,7,7,http://rangers-bikes.firebaseapp.com/allbikes,103,0,53
1665959286828,60,Bikes-1,404,Not Found,Thread Group 1-4,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,46,0,0
1665959286628,275,Rannger,200,OK,Thread Group 1-6,text,true,,4005,254,7,7,https://rangers-bikes.firebaseapp.com/,93,0,47
1665959286628,93,Rannger-0,301,Moved Permanently,Thread Group 1-6,,true,,387,127,7,7,http://rangers-bikes.firebaseapp.com/,93,0,47
1665959286722,181,Rannger-1,200,OK,Thread Group 1-6,text,true,,3618,127,7,7,https://rangers-bikes.firebaseapp.com/,181,0,132
1665959286748,177,Bikes,404,Not Found,Thread Group 1-1,text,false,,11599,270,7,7,https://rangers-bikes.firebaseapp.com/allbikes,110,0,47
1665959286748,110,Bikes-0,301,Moved Permanently,Thread Group 1-1,,true,,395,135,7,7,http://rangers-bikes.firebaseapp.com/allbikes,110,0,47
1665959286858,67,Bikes-1,404,Not Found,Thread Group 1-1,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,48,0,0
1665959286750,182,Bikes,404,Not Found,Thread Group 1-3,text,false,,11599,270,7,7,https://rangers-bikes.firebaseapp.com/allbikes,109,0,47
1665959286750,109,Bikes-0,301,Moved Permanently,Thread Group 1-3,,true,,395,135,7,7,http://rangers-bikes.firebaseapp.com/allbikes,109,0,47
1665959286859,73,Bikes-1,404,Not Found,Thread Group 1-3,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,59,0,0
1665959286780,198,Bikes,404,Not Found,Thread Group 1-2,text,false,,11599,270,7,7,https://rangers-bikes.firebaseapp.com/allbikes,121,0,63
1665959286780,121,Bikes-0,301,Moved Permanently,Thread Group 1-2,,true,,395,135,7,7,http://rangers-bikes.firebaseapp.com/allbikes,121,0,63
1665959286901,77,Bikes-1,404,Not Found,Thread Group 1-2,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,49,0,0
1665959286858,146,Bikes,404,Not Found,Thread Group 1-5,text,false,,11599,270,7,7,https://rangers-bikes.firebaseapp.com/allbikes,92,0,47
1665959286858,92,Bikes-0,301,Moved Permanently,Thread Group 1-5,,true,,395,135,7,7,http://rangers-bikes.firebaseapp.com/allbikes,92,0,47
1665959286950,54,Bikes-1,404,Not Found,Thread Group 1-5,text,false,,11204,135,7,7,https://rangers-bikes.firebaseapp.com/allbikes,48,0,0
1665959286889,139,Rannger,200,OK,Thread Group 1-4,text,true,,4005,254,8,8,https://rangers-bikes.firebaseapp.com/,91,0,45
1665959286889,91,Rannger-0,301,Moved Permanently,Thread Group 1-4,,true,,387,127,8,8,http://rangers-bikes.firebaseapp.com/,91,0,45
1665959286980,48,Rannger-1,200,OK,Thread Group 1-4,text,true,,3618,127,8,8,https://rangers-bikes.firebaseapp.com/,48,0,0
1665959286904,155,About,404,Not Found,Thread Group 1-6,text,false,,11596,264,8,8,https://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286904,94,About-0,301,Moved Permanently,Thread Group 1-6,,true,,392,132,8,8,http://rangers-bikes.firebaseapp.com/about,94,0,47
1665959286999,60,About-1,404,Not Found,Thread Group 1-6,text,false,,11204,132,8,8,https://rangers-bikes.firebaseapp.com/about,59,0,0
1665959286926,144,Rannger,200,OK,Thread Group 1-1,text,true,,4005,254,8,8,https://rangers-bikes.firebaseapp.com/,89,0,45
1665959286926,89,Rannger-0,301,Moved Permanently,Thread Group 1-1,,true,,387,127,8,8,http://rangers-bikes.firebaseapp.com/,89,0,45
1665959287015,55,Rannger-1,200,OK,Thread Group 1-1,text,true,,3618,127,8,8,https://rangers-bikes.firebaseapp.com/,55,0,0
1665959286933,149,Rannger,200,OK,Thread Group 1-3,text,true,,4004,254,8,8,https://rangers-bikes.firebaseapp.com/,98,0,48
1665959286933,98,Rannger-0,301,Moved Permanently,Thread Group 1-3,,true,,387,127,8,8,http://rangers-bikes.firebaseapp.com/,98,0,48
1665959287032,50,Rannger-1,200,OK,Thread Group 1-3,text,true,,3617,127,8,8,https://rangers-bikes.firebaseapp.com/,47,0,0
1665959286813,271,Rannger,200,OK,Thread Group 1-7,text,true,,4004,254,8,8,https://rangers-bikes.firebaseapp.com/,106,0,59
1665959286813,106,Rannger-0,301,Moved Permanently,Thread Group 1-7,,true,,387,127,8,8,http://rangers-bikes.firebaseapp.com/,106,0,59
1665959286919,165,Rannger-1,200,OK,Thread Group 1-7,text,true,,3617,127,8,8,https://rangers-bikes.firebaseapp.com/,165,0,118
1665959286979,147,Rannger,200,OK,Thread Group 1-2,text,true,,4005,254,8,8,https://rangers-bikes.firebaseapp.com/,95,0,48
1665959286979,95,Rannger-0,301,Moved Permanently,Thread Group 1-2,,true,,387,127,8,8,http://rangers-bikes.firebaseapp.com/,95,0,48
1665959287074,52,Rannger-1,200,OK,Thread Group 1-2,text,true,,3618,127,8,8,https://rangers-bikes.firebaseapp.com/,47,0,0
1665959287005,149,Rannger,200,OK,Thread Group 1-5,text,true,,4005,254,8,8,https://rangers-bikes.firebaseapp.com/,100,0,52
