timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666554806034,560,Home,200,OK,Thread Group 1-2,text,true,,4004,254,3,3,https://rangers-bikes.firebaseapp.com/,118,0,60
1666554806034,118,Home-0,301,Moved Permanently,Thread Group 1-2,,true,,387,127,3,3,http://rangers-bikes.firebaseapp.com/,118,0,60
1666554806153,441,Home-1,200,OK,Thread Group 1-2,text,true,,3617,127,3,3,https://rangers-bikes.firebaseapp.com/,440,0,385
1666554806597,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,3,3,null,0,0,0
1666554805756,851,Home,200,OK,Thread Group 1-1,text,true,,4004,254,3,3,https://rangers-bikes.firebaseapp.com/,215,0,150
1666554805756,229,Home-0,301,Moved Permanently,Thread Group 1-1,,true,,387,127,3,3,http://rangers-bikes.firebaseapp.com/,215,0,150
1666554805994,613,Home-1,200,OK,Thread Group 1-1,text,true,,3617,127,3,3,https://rangers-bikes.firebaseapp.com/,612,0,544
1666554806607,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-1,text,false,,875,0,3,3,null,0,0,0
1666554806432,257,Home,200,OK,Thread Group 1-3,text,true,,4004,254,3,3,https://rangers-bikes.firebaseapp.com/,99,0,51
1666554806432,99,Home-0,301,Moved Permanently,Thread Group 1-3,,true,,387,127,3,3,http://rangers-bikes.firebaseapp.com/,99,0,51
1666554806533,156,Home-1,200,OK,Thread Group 1-3,text,true,,3617,127,3,3,https://rangers-bikes.firebaseapp.com/,155,0,112
1666554806690,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-3,text,false,,875,0,3,3,null,0,0,0
1666554806598,151,Home,200,OK,Thread Group 1-2,text,true,,4004,254,3,3,https://rangers-bikes.firebaseapp.com/,96,0,51
1666554806598,96,Home-0,301,Moved Permanently,Thread Group 1-2,,true,,387,127,3,3,http://rangers-bikes.firebaseapp.com/,96,0,51
1666554806694,55,Home-1,200,OK,Thread Group 1-2,text,true,,3617,127,3,3,https://rangers-bikes.firebaseapp.com/,50,0,0
1666554806750,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-2,text,false,,875,0,3,3,null,0,0,0
1666554806608,186,Home,200,OK,Thread Group 1-1,text,true,,4004,254,3,3,https://rangers-bikes.firebaseapp.com/,120,0,60
1666554806608,120,Home-0,301,Moved Permanently,Thread Group 1-1,,true,,387,127,3,3,http://rangers-bikes.firebaseapp.com/,120,0,60
1666554806728,66,Home-1,200,OK,Thread Group 1-1,text,true,,3617,127,3,3,https://rangers-bikes.firebaseapp.com/,60,0,0
1666554806795,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-1,text,false,,875,0,3,3,null,0,0,0
1666554806691,164,Home,200,OK,Thread Group 1-3,text,true,,4004,254,4,4,https://rangers-bikes.firebaseapp.com/,117,0,57
